var_name,description,valid_labels,missing_labels
V166142,RANDOM: web sites R visits regularly (MEDSRC_WEBSITES) - 7th,"1. Y ahoo News
2. CNN.com
3. NBC News (nbcnews.com)
4. Huffington Post
5. CBS News (cbsnews.com)
6. USA T oday
7. Buzzfeed.com
8. Mention New Y ork Times
9. F ox News (foxnews.com)
10. Mail Online /Daily Mail
11. W ashington Post
12. Business Insider
13. BBC News
14. The Guardian
15. ABC News
","-1. Inap
-5. Interview breakoff
"
V166143,RANDOM: web sites R visits regularly (MEDSRC_WEBSITES) - 8th,"1. Y ahoo News
2. CNN.com
3. NBC News (nbcnews.com)
4. Huffington Post
5. CBS News (cbsnews.com)
6. USA T oday
7. Buzzfeed.com
8. Mention New Y ork Times
9. F ox News (foxnews.com)
10. Mail Online /Daily Mail
11. W ashington Post
12. Business Insider
13. BBC News
14. The Guardian
15. ABC News
","-1. Inap
-5. Interview breakoff
"
V166144,RANDOM: web sites R visits regularly (MEDSRC_WEBSITES) - 9th,"1. Y ahoo News
2. CNN.com
3. NBC News (nbcnews.com)
4. Huffington Post
5. CBS News (cbsnews.com)
6. USA T oday
7. Buzzfeed.com
8. Mention New Y ork Times
9. F ox News (foxnews.com)
10. Mail Online /Daily Mail
11. W ashington Post
12. Business Insider
13. BBC News
14. The Guardian
15. ABC News
","-1. Inap
-5. Interview breakoff
"
V166145,RANDOM: web sites R visits regularly (MEDSRC_WEBSITES) - 10th,"1. Y ahoo News
2. CNN.com
3. NBC News (nbcnews.com)
4. Huffington Post
5. CBS News (cbsnews.com)
6. USA T oday
7. Buzzfeed.com
8. Mention New Y ork Times
9. F ox News (foxnews.com)
10. Mail Online /Daily Mail
11. W ashington Post
12. Business Insider
13. BBC News
14. The Guardian
15. ABC News
","-1. Inap
-5. Interview breakoff
"
V166146,RANDOM: web sites R visits regularly (MEDSRC_WEBSITES) - 11th,"1. Y ahoo News
2. CNN.com
3. NBC News (nbcnews.com)
4. Huffington Post
5. CBS News (cbsnews.com)
6. USA T oday
7. Buzzfeed.com
8. Mention New Y ork Times
9. F ox News (foxnews.com)
10. Mail Online /Daily Mail
11. W ashington Post
12. Business Insider
13. BBC News
14. The Guardian
15. ABC News
","-1. Inap
-5. Interview breakoff
"
V166147,RANDOM: web sites R visits regularly (MEDSRC_WEBSITES) - 12th,"1. Y ahoo News
2. CNN.com
3. NBC News (nbcnews.com)
4. Huffington Post
5. CBS News (cbsnews.com)
6. USA T oday
7. Buzzfeed.com
8. Mention New Y ork Times
9. F ox News (foxnews.com)
10. Mail Online /Daily Mail
11. W ashington Post
12. Business Insider
13. BBC News
14. The Guardian
15. ABC News
","-1. Inap
-5. Interview breakoff
"
V166148,RANDOM: web sites R visits regularly (MEDSRC_WEBSITES) - 13th,"1. Y ahoo News
2. CNN.com
3. NBC News (nbcnews.com)
4. Huffington Post
5. CBS News (cbsnews.com)
6. USA T oday
7. Buzzfeed.com
8. Mention New Y ork Times
9. F ox News (foxnews.com)
10. Mail Online /Daily Mail
11. W ashington Post
12. Business Insider
13. BBC News
14. The Guardian
15. ABC News
","-1. Inap
-5. Interview breakoff
"
V166149,RANDOM: web sites R visits regularly (MEDSRC_WEBSITES) - 14th,"1. Y ahoo News
2. CNN.com
3. NBC News (nbcnews.com)
4. Huffington Post
5. CBS News (cbsnews.com)
6. USA T oday
7. Buzzfeed.com
8. Mention New Y ork Times
9. F ox News (foxnews.com)
10. Mail Online /Daily Mail
11. W ashington Post
12. Business Insider
13. BBC News
14. The Guardian
15. ABC News
","-1. Inap
-5. Interview breakoff
"
V166150,RANDOM: web sites R visits regularly (MEDSRC_WEBSITES) - 15th,"1. Y ahoo News
2. CNN.com
3. NBC News (nbcnews.com)
4. Huffington Post
5. CBS News (cbsnews.com)
6. USA T oday
7. Buzzfeed.com
8. Mention New Y ork Times
9. F ox News (foxnews.com)
10. Mail Online /Daily Mail
11. W ashington Post
12. Business Insider
13. BBC News
14. The Guardian
15. ABC News
","-1. Inap
-5. Interview breakoff
"
V166151,RANDOM: print/online newspapers R reads regularly - 1st,"1. The New Y ork Times
2. USA T oday
3. The W all Street News
4. The W ashington Post
5. Restricted
6. Restricted
7. Restricted
8. Restricted
9. Restricted
10. Restricted
11. Restricted
12. Restricted
13. Restricted
14. Restricted
15. Restricted
16. Restricted
","-1. Inap
-5. Interview breakoff
"
V166152,RANDOM: print/online newspapers R reads regularly - 2nd,"1. The New Y ork Times
2. USA T oday
3. The W all Street News
4. The W ashington Post
5. Restricted
6. Restricted
7. Restricted
8. Restricted
9. Restricted
10. Restricted
11. Restricted
12. Restricted
13. Restricted
14. Restricted
15. Restricted
16. Restricted
","-1. Inap
-5. Interview breakoff
"
V166153,RANDOM: print/online newspapers R reads regularly - 3rd,"1. The New Y ork Times
2. USA T oday
3. The W all Street News
4. The W ashington Post
5. Restricted
6. Restricted
7. Restricted
8. Restricted
9. Restricted
10. Restricted
11. Restricted
12. Restricted
13. Restricted
14. Restricted
15. Restricted
16. Restricted
","-1. Inap
-5. Interview breakoff
"
V166154,RANDOM: print/online newspapers R reads regularly - 4th,"1. The New Y ork Times
2. USA T oday
3. The W all Street News
4. The W ashington Post
5. Restricted
6. Restricted
7. Restricted
8. Restricted
9. Restricted
10. Restricted
11. Restricted
12. Restricted
13. Restricted
14. Restricted
15. Restricted
16. Restricted
","-1. Inap
-5. Interview breakoff
"
V166155,RANDOM: print/online newspapers R reads regularly - 5th,"1. The New Y ork Times
2. USA T oday
3. The W all Street News
4. The W ashington Post
5. Restricted
6. Restricted
7. Restricted
8. Restricted
9. Restricted
10. Restricted
11. Restricted
12. Restricted
13. Restricted
14. Restricted
15. Restricted
16. Restricted
","-1. Inap
-5. Interview breakoff
"
V166156,RANDOM: print/online newspapers R reads regularly - 6th,"1. The New Y ork Times
2. USA T oday
3. The W all Street News
4. The W ashington Post
5. Restricted
6. Restricted
7. Restricted
8. Restricted
9. Restricted
10. Restricted
11. Restricted
12. Restricted
13. Restricted
14. Restricted
15. Restricted
16. Restricted
","-1. Inap
-5. Interview breakoff
"
V166157,RANDOM: print/online newspapers R reads regularly - 7th,"1. The New Y ork Times
2. USA T oday
3. The W all Street News
4. The W ashington Post
5. Restricted
6. Restricted
7. Restricted
8. Restricted
9. Restricted
10. Restricted
11. Restricted
12. Restricted
13. Restricted
14. Restricted
15. Restricted
16. Restricted
","-1. Inap
-5. Interview breakoff
"
V166158,RANDOM: print/online newspapers R reads regularly - 8th,"1. The New Y ork Times
2. USA T oday
3. The W all Street News
4. The W ashington Post
5. Restricted
6. Restricted
7. Restricted
8. Restricted
9. Restricted
10. Restricted
11. Restricted
12. Restricted
13. Restricted
14. Restricted
15. Restricted
16. Restricted
","-1. Inap
-5. Interview breakoff
"
V166159,RANDOM: print/online newspapers R reads regularly - 9th,"1. The New Y ork Times
2. USA T oday
3. The W all Street News
4. The W ashington Post
5. Restricted
6. Restricted
7. Restricted
8. Restricted
9. Restricted
10. Restricted
11. Restricted
12. Restricted
13. Restricted
14. Restricted
15. Restricted
16. Restricted
","-1. Inap
-5. Interview breakoff
"
